ticker,profit_factor_raw,profit_factor_eff,profit_factor_diag,pf_capped,zero_loss,num_trades,ticker_score,total_return,gross_profit,gross_loss,gl_per_trade,atr_pct_med,maxdd,eligible,is_neg,num_neg_trades,run_coverage,run_zero_loss_pct,run_cap_pct,run_glpt_med,run_vol_med,run_stability_score
PBR,1.090934776744296,1.090934776744296,1.090934776744296,0,0,7,0.32363403336397517,0.003820822019122483,0.14094164294126638,0.12919346412430086,0.01845620916061441,0.02380139643134026,-0.12390583226977159,1,0,3,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
JNJ,3.9180228816467966,3.9180228816467966,3.9180228816467966,0,0,7,0.9951619594749299,0.08427437155100215,0.11095630944332496,0.028319464381659908,0.004045637768808558,0.015171299794179641,-0.017906754210169407,1,0,2,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
TARS,3.044186545829082,3.044186545829082,3.044186545829082,0,0,8,0.9851434000596333,0.313877423781483,0.4881616750769307,0.16035865993356205,0.020044832491695256,0.03618639667705041,-0.1270817831698271,1,0,4,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
SN,3.156759326953031,3.156759326953031,3.156759326953031,0,0,6,0.9789429291918578,0.2649558886489358,0.4009250753267015,0.1270052714831709,0.02116754524719515,0.036651858272835215,-0.1135286514285716,1,0,3,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
BLOK,3.0168193734922335,3.0168193734922335,3.0168193734922335,0,0,8,0.9841741668255792,0.21105335916174361,0.31468316984773653,0.10430958267264875,0.013038697834081094,0.030595538312317535,-0.06544444183287368,1,0,4,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
LVS,4.492830352381906,4.492830352381906,4.0,1,0,6,0.9881102184755315,0.1722552697290558,0.21917880928395828,0.048784127619632696,0.008130687936605449,0.027077205882352334,-0.04795882786026162,1,0,2,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
SPY,1.6006924052067337,1.6006924052067337,1.6006924052067337,0,0,10,0.6466461709612271,0.037669775190356525,0.10931508398740054,0.0682923737451495,0.0068292373745149505,0.010808845804301729,-0.05335855056907679,1,0,6,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
LGND,1.0037039989379513,1.0037039989379513,1.0037039989379513,0,0,10,0.2783740701627591,-0.010687211380923323,0.1930642888465168,0.19235181791723838,0.019235181791723836,0.02604453460851075,-0.13538896700068237,1,1,6,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
ALNY,1.9403231572730588,1.9403231572730588,1.9403231572730588,0,0,8,0.8137705760725646,0.18664425368654047,0.4434420724455247,0.22854031854608214,0.028567539818260268,0.03282743707726729,-0.21211245547839386,1,0,4,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
JPM,1.9647280445254183,1.9647280445254183,1.9647280445254183,0,0,8,0.8229986588871375,0.0910377411933847,0.19558142138983362,0.09954630715167323,0.012443288393959154,0.01952896671649525,-0.08745560049443857,1,0,3,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
SCHD,2.42096365619785,2.42096365619785,2.42096365619785,0,0,6,0.9267157976392407,0.041575051822925424,0.07208947450296965,0.029777181627000122,0.00496286360450002,0.010465031124129984,-0.023675607030976265,1,0,3,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
