ticker,profit_factor_raw,profit_factor_eff,profit_factor_diag,pf_capped,zero_loss,num_trades,ticker_score,total_return,gross_profit,gross_loss,gl_per_trade,atr_pct_med,maxdd,eligible,is_neg,num_neg_trades,run_coverage,run_zero_loss_pct,run_cap_pct,run_glpt_med,run_vol_med,run_stability_score,regime
JNJ,3.918022881646797,3.918022881646797,3.918022881646797,0,0,7,0.99516195947493,0.0842743715510021,0.1109563094433249,0.0283194643816599,0.0040456377688085,0.0151712997941796,-0.0179067542101694,1,0,2,1.0,0.0,0.2857142857142857,0.0120950849787388,0.0257760395224366,0.9560529379241848,swing
TARS,3.044186545829082,3.044186545829082,3.044186545829082,0,0,8,0.9851434000596332,0.313877423781483,0.4881616750769307,0.160358659933562,0.0200448324916952,0.0361863966770504,-0.1270817831698271,1,0,4,1.0,0.0,0.2857142857142857,0.0120950849787388,0.0257760395224366,0.9560529379241848,swing
SN,3.156759326953031,3.156759326953031,3.156759326953031,0,0,6,0.9789429291918578,0.2649558886489358,0.4009250753267015,0.1270052714831709,0.0211675452471951,0.0366518582728352,-0.1135286514285716,1,0,3,1.0,0.0,0.2857142857142857,0.0120950849787388,0.0257760395224366,0.9560529379241848,swing
BLOK,6.007442845900418,6.007442845900418,4.0,1,0,8,0.9976121290783432,0.3096536112291572,0.3469609290801846,0.0577551776987702,0.0072193972123462,0.0305955383123175,-0.0346501167841617,1,0,3,1.0,0.0272108843537414,0.2993197278911564,0.0088722895130597,0.0257760395224366,0.9607221296010604,trend
LVS,4.492830352381906,4.492830352381906,4.0,1,0,6,0.9881102184755316,0.1722552697290558,0.2191788092839582,0.0487841276196326,0.0081306879366054,0.0270772058823523,-0.0479588278602616,1,0,2,1.0,0.0,0.2857142857142857,0.0120950849787388,0.0257760395224366,0.9560529379241848,swing
SPY,2.6290237908796934,2.6290237908796934,2.6290237908796934,0,0,11,0.9597741891453566,0.060989054877274,0.0975466021811545,0.0371037350516005,0.0033730668228727,0.0108088458043017,-0.0316963379831874,1,0,3,1.0,0.0272108843537414,0.2993197278911564,0.0088722895130597,0.0257760395224366,0.9607221296010604,trend
LGND,3.185519182522617,3.185519182522617,3.185519182522617,0,0,8,0.9887006832017184,0.1898337344674714,0.2697949296108843,0.0846941782963094,0.0105867722870386,0.0260445346085107,-0.0497771395571225,1,0,4,1.0,0.0272108843537414,0.2993197278911564,0.0088722895130597,0.0257760395224366,0.9607221296010604,trend
ALNY,2.540848979997876,2.540848979997876,2.540848979997876,0,0,8,0.949302588168668,0.0914255420407987,0.1512805925763939,0.0595393877272156,0.0074424234659019,0.0328274370772672,-0.0374859749532724,1,0,2,1.0,0.0272108843537414,0.2993197278911564,0.0088722895130597,0.0257760395224366,0.9607221296010604,trend
JPM,3.184229458579999,3.184229458579999,3.184229458579999,0,0,8,0.9886678378982672,0.1038337475975605,0.1520427996413424,0.0477486945017918,0.0059685868127239,0.0195289667164952,-0.0477486945026354,1,0,1,1.0,0.0272108843537414,0.2993197278911564,0.0088722895130597,0.0257760395224366,0.9607221296010604,trend
SCHD,1000000000.0,1000.0,4.0,1,1,10,0.9985552596533503,0.1572934572129325,0.1477488714380434,0.0,0.0,0.0104650311241299,-1.000088900582341e-12,1,0,0,1.0,0.0272108843537414,0.2993197278911564,0.0088722895130597,0.0257760395224366,0.9607221296010604,trend
FROG,1.2029761429504102,1.2029761429504102,1.2029761429504102,0,0,9,0.3743202987425665,0.0246765373153889,0.2728640107120487,0.2268241247435086,0.0252026805270565,0.0368214571657318,-0.114331571191679,1,0,4,1.0,0.0272108843537414,0.2993197278911564,0.0088722895130597,0.0257760395224366,0.9607221296010604,trend
AIQ,3.1538278534832824,3.1538278534832824,3.1538278534832824,0,0,10,0.9888010007544,0.1236525361383356,0.1808208436293409,0.0573337709062437,0.0057333770906243,0.0161875385564462,-0.0545747508624993,1,0,2,1.0,0.0272108843537414,0.2993197278911564,0.0088722895130597,0.0257760395224366,0.9607221296010604,trend
SNOW,1000000000.0,1000.0,4.0,1,1,8,0.9976121290783432,0.5300126702797054,0.4507518838885024,0.0,0.0,0.034933924129353,-1.000088900582341e-12,1,0,0,1.0,0.0272108843537414,0.2993197278911564,0.0088722895130597,0.0257760395224366,0.9607221296010604,trend
AER,16.60922208430545,16.60922208430545,4.0,1,0,6,0.9881102184755316,0.25222988762133,0.2492441134441305,0.0150063688822397,0.0025010614803732,0.015993156265276,-0.0150063688831347,1,0,1,1.0,0.0,0.2857142857142857,0.0120950849787388,0.0257760395224366,0.9560529379241848,swing
JKHY,2.1475388364621617,2.1475388364621617,2.1475388364621617,0,0,5,0.8506980549023739,0.0603344634265332,0.1156826457219617,0.0538675453769843,0.0107735090753968,0.0175529568994319,-0.0531735543604644,1,0,2,1.0,0.0,0.2857142857142857,0.0120950849787388,0.0257760395224366,0.9560529379241848,swing
RCL,3.422811385187708,3.422811385187708,3.422811385187708,0,0,7,0.9913217610296972,0.3212504465972852,0.4586315772190696,0.1339926527075982,0.0191418075296568,0.0316883959265744,-0.0816320081675708,1,0,3,1.0,0.0,0.2857142857142857,0.0120950849787388,0.0257760395224366,0.9560529379241848,swing
TEVA,9.605108963948055,9.605108963948055,4.0,1,0,8,0.9977257078141144,0.6348894110579781,0.6046874306835952,0.0629547705240239,0.0078693463155029,0.0304179408766549,-0.0419475150781402,1,0,3,1.0,0.0,0.2857142857142857,0.0120950849787388,0.0257760395224366,0.9560529379241848,swing
CX,3.520837700601256,3.520837700601256,3.520837700601256,0,0,6,0.9851620506709748,0.179866610884835,0.2518512249141201,0.0715316201229927,0.0119219366871654,0.0255226824457568,-0.0715316201237621,1,0,1,1.0,0.0,0.2857142857142857,0.0120950849787388,0.0257760395224366,0.9560529379241848,swing
GE,15.467194383916194,15.467194383916194,4.0,1,0,8,0.9977257078141144,0.2883630880233854,0.2905892480065608,0.0187874569100091,0.0023484321137511,0.0231049003167504,-0.0121739815697367,1,0,3,1.0,0.0,0.2857142857142857,0.0120950849787388,0.0257760395224366,0.9560529379241848,swing
XBI,4.419667895646688,4.419667895646688,4.0,1,0,8,0.9977257078141144,0.1338406799917095,0.1701796805610371,0.0385050833182877,0.0048131354147859,0.0214808496811663,-0.0380532923590299,1,0,3,1.0,0.0,0.2857142857142857,0.0120950849787388,0.0257760395224366,0.9560529379241848,swing
IYW,3.1996236610145794,3.1996236610145794,3.1996236610145794,0,0,9,0.9897743091191308,0.1562381666900092,0.2262231124428798,0.0707030377351147,0.0078558930816794,0.0149985567208697,-0.0666899814764923,1,0,5,1.0,0.0272108843537414,0.2993197278911564,0.0088722895130597,0.0257760395224366,0.9607221296010604,trend
STX,23.41225792193884,23.41225792193884,4.0,1,0,6,0.9881102184755316,0.7455675382718878,0.6588748844997473,0.0281423042022075,0.0046903840337012,0.0327914951989022,-0.0281423042027668,1,0,1,1.0,0.0,0.2857142857142857,0.0120950849787388,0.0257760395224366,0.9560529379241848,swing
RY,2.8813273706902107,2.8813273706902107,2.8813273706902107,0,0,8,0.978301148047646,0.0672029566297502,0.1055412776547547,0.0366293947464472,0.0045786743433059,0.0110558518983369,-0.0336298760579411,1,0,5,1.0,0.0,0.2857142857142857,0.0120950849787388,0.0257760395224366,0.9560529379241848,swing
DELL,2.1287014572558145,2.1287014572558145,2.1287014572558145,0,0,9,0.8705350047283346,0.2208633951088801,0.4569530739173306,0.2146628275936848,0.0238514252881872,0.0359611814345988,-0.1232623593334759,1,0,3,1.0,0.0272108843537414,0.2993197278911564,0.0088722895130597,0.0257760395224366,0.9607221296010604,trend
TK,4.149328281697301,4.149328281697301,4.0,1,0,7,0.9954536132298974,0.3911334021791159,0.4860074604295534,0.1171291899398111,0.016732741419973,0.0277275329135629,-0.1007754865377505,1,0,3,1.0,0.0,0.2857142857142857,0.0120950849787388,0.0257760395224366,0.9560529379241848,swing
MRK,2.672137522864538,2.672137522864538,2.672137522864538,0,0,8,0.962762809715274,0.1178546498770052,0.1880648905839861,0.0703799445106328,0.0087974930638291,0.0240249571813062,-0.0703799445115315,1,0,1,1.0,0.0272108843537414,0.2993197278911564,0.0088722895130597,0.0257760395224366,0.9607221296010604,trend
WWD,11.352995639893232,11.352995639893232,4.0,1,0,10,0.9985552596533503,0.5066455927123574,0.4726412526861578,0.0416314132126807,0.004163141321268,0.0224659820027412,-0.0364478480268687,1,0,2,1.0,0.0272108843537414,0.2993197278911564,0.0088722895130597,0.0257760395224366,0.9607221296010604,trend
ARGX,3.949041037749396,3.949041037749396,3.949041037749396,0,0,7,0.9950439329817176,0.1752897669997135,0.2258092401439427,0.0571807783169136,0.0081686826167019,0.0235031693586125,-0.0571807783176698,1,0,1,1.0,0.0272108843537414,0.2993197278911564,0.0088722895130597,0.0257760395224366,0.9607221296010604,trend
RVMD,3.091182621446639,3.091182621446639,3.091182621446639,0,0,7,0.9844045487055004,0.3536703413990962,0.5211186595237265,0.1685822946558391,0.0240831849508341,0.0354052631578937,-0.1602054254283154,1,0,3,1.0,0.0,0.2857142857142857,0.0120950849787388,0.0257760395224366,0.9560529379241848,swing
PALL,2.4070230508789248,2.4070230508789248,2.4070230508789248,0,0,8,0.930736510243118,0.1276573459760368,0.2188133414911713,0.0909062093988969,0.0113632761748621,0.0223593610477227,-0.0892969899721507,1,0,3,1.0,0.0272108843537414,0.2993197278911564,0.0088722895130597,0.0257760395224366,0.9607221296010604,trend
