ticker,profit_factor,profit_factor_diag,trend_metric,num_trades,ticker_score,total_return,gross_profit,gross_loss,maxdd,eligible
GLD,0.0,0.0,8.739427296328307,2,0.005472497948736376,-0.03482680967810836,0.0,0.03271844943331115,-0.03482680967810836,True
JPM,0.0,0.0,4.0466808695985685,2,0.005463803064170763,-0.03533078633795517,0.0,0.033071272265428525,-0.03533078633795517,True
XLK,0.0,0.0,4.62499864305151,2,0.0054625708792317,-0.035411399855248105,0.0,0.033371222237171635,-0.035411399855248105,True
ABBV,0.0,0.0,3.877022180413797,2,0.0054072700213513595,-0.03866971281014464,0.0,0.036637794231429384,-0.03866971281014464,True
JAZZ,0.0,0.0,4.207529388888132,2,0.005269738414721926,-0.04686756031216288,0.0,0.04496375170635454,-0.04686756031216288,True
GLSI,0.0,0.0,1.8715518423526123,3,0.005260674703948349,-0.1538167042178663,0.0,0.15566541707893766,-0.1538167042178663,True
AMAT,0.0,0.0,4.6333686438665085,2,0.004994077475730938,-0.06352290753135725,0.0,0.062198648569920474,-0.06352290753135725,True
GLW,0.0,0.0,6.387191623427153,2,0.0048179967916867515,-0.07435294472104548,0.0,0.07281640884831711,-0.07435294472104548,True
SNOW,0.0,0.0,3.6781849923147485,2,0.00470931180118937,-0.08109548069689054,0.0,0.07922205775011808,-0.08109548069689054,True
ICE,0.0,0.0,3.3559808965221074,2,0.004395383491500945,-0.1010214805561167,0.0,0.10067714205893677,-0.1010214805561167,True
BABA,0.0,0.0,4.2485210921645855,2,0.004071245248738454,-0.122460122704525,0.0,0.12420066596308735,-0.122460122704525,True
BLOK,0.0,0.0,4.399550252469078,2,0.0039026825551714242,-0.13394057231563483,0.0,0.136083647187995,-0.13394057231563483,True
RDVT,0.0,0.0,4.4832757558986405,2,0.0038491904619935057,-0.13764200587863962,0.0,0.13977024533315027,-0.13764200587863962,True
SBGI,0.0,0.0,0.7199987550394039,2,0.003700147267658794,-0.05478381443642122,0.0,0.05311361602835529,-0.05478381443642122,True
ARKF,0.0,0.0,4.606456959384418,2,0.0036083485876017315,-0.15468839678457325,0.0,0.15672828572525324,-0.15468839678457325,True
BLTE,inf,12.0,5.011792883145391,1,0.0,0.13884729875762547,0.1402151464559198,0.0,-0.0006000000000000449,False
BFH,inf,12.0,3.7143522412418113,1,0.0,0.10892893137290183,0.11026084469262906,0.0,-0.0006000000000000449,False
RGLD,inf,12.0,3.1467021180852113,1,0.0,0.10510816155581826,0.10643548582202972,0.0,-0.0006000000000000449,False
CRS,inf,12.0,4.175269256437013,1,0.0,0.09252768433408853,0.09383989842984103,0.0,-0.0006000000000000449,False
FROG,inf,12.0,4.1224537573484685,1,0.0,0.0855614487620644,0.08686529584557276,0.0,-0.0006000000000000449,False
SU,inf,12.0,3.109597698747199,1,0.0,0.08178673239134993,0.08308604573525588,0.0,-0.0006000000000000449,False
FDX,inf,12.0,2.9244259620617266,1,0.0,0.0779271069550096,0.07922178457665913,0.0,-0.0006000000000000449,False
MDT,inf,12.0,2.8746952846652105,1,0.0,0.07336029125513854,0.07464948376183864,0.0,-0.0006000000000000449,False
LMT,inf,12.0,1.1254061434785936,1,0.0,0.06694900473748744,0.06823049677063352,0.0,-0.0006000000000000449,False
TJX,inf,12.0,5.634227700455051,1,0.0,0.06323314714447403,0.06451017613216944,0.0,-0.0006000000000000449,False
DLTR,inf,12.0,3.353879917962529,1,0.0,0.05943307426189359,0.060705539054765285,0.0,-0.0006000000000000449,False
VET,inf,12.0,0.9996446350999189,1,0.0,0.04855609749077483,0.049815498154981465,0.0,-0.0006000000000000449,False
UTHR,inf,12.0,7.506541794408776,1,0.0,0.04431619525717889,0.04557050345594483,0.0,-0.0006000000000000449,False
DDOG,inf,12.0,3.372950534199622,1,0.0,0.04195468108882516,0.04320615291811182,0.0,-0.0006000000000000449,False
EGO,inf,12.0,5.313500204374875,1,0.0,0.028882550835424903,0.03011832197920401,0.0,-0.0006000000000000449,False
ROST,inf,12.0,5.781052212953488,1,0.0,0.017632921524174172,0.01885518095345316,0.0,-0.0006000000000000449,False
