number,value,datetime_start,datetime_complete,duration,params_atr_period,params_channel_length,params_channel_multi,params_sl_multiplier,params_tp_multiplier,params_trail_multiplier,state
505,3.1118036734607606,2026-01-07 05:01:05.801548,2026-01-07 05:01:05.876234,0 days 00:00:00.074686,50,38,2.042626101060954,3.134152474928429,3.5463817453773596,2.362881785457381,COMPLETE
1088,3.1118036734607606,2026-01-07 05:03:23.764518,2026-01-07 05:03:23.854992,0 days 00:00:00.090474,46,39,2.525875070401027,3.3920630369110594,3.386962609494041,1.9333982886669132,COMPLETE
1682,3.1118036734607606,2026-01-07 05:06:02.402430,2026-01-07 05:06:02.508781,0 days 00:00:00.106351,13,38,2.18696256690094,3.1723064799878617,5.174399457427301,1.6349217455510134,COMPLETE
65,3.1118036734607606,2026-01-07 04:59:21.571449,2026-01-07 04:59:21.693467,0 days 00:00:00.122018,42,39,2.4951000810074984,2.48751595202395,4.166383214873987,1.6518545510867793,COMPLETE
92,3.1118036734607606,2026-01-07 04:59:28.806307,2026-01-07 04:59:28.872172,0 days 00:00:00.065865,46,39,2.2633862912386857,4.081402855782418,3.7253514090182143,2.7367392371081136,COMPLETE
1139,3.1118036734607606,2026-01-07 05:03:35.649518,2026-01-07 05:03:35.747765,0 days 00:00:00.098247,11,38,3.599203422779227,3.1319927348877834,3.0180355891345503,1.852979031012437,COMPLETE
482,3.1118036734607606,2026-01-07 05:00:59.906540,2026-01-07 05:01:00.055355,0 days 00:00:00.148815,19,39,2.2440607510108577,4.369655100384456,5.362960085253975,1.9447948971054037,COMPLETE
1934,3.1118036734607606,2026-01-07 05:07:09.196724,2026-01-07 05:07:09.448296,0 days 00:00:00.251572,48,39,2.5670052987549448,2.4221549016441073,3.6693153473904006,1.66602767884773,COMPLETE
1165,3.1118036734607606,2026-01-07 05:03:42.216705,2026-01-07 05:03:42.302560,0 days 00:00:00.085855,43,39,3.1717342293426336,2.3081998455329034,5.979992151419585,3.050212756342259,COMPLETE
1834,3.1118036734607606,2026-01-07 05:06:43.008594,2026-01-07 05:06:43.091088,0 days 00:00:00.082494,39,38,2.1469359129254513,4.138976849293145,3.1401163283684124,2.439487218713084,COMPLETE
1198,3.1118036734607606,2026-01-07 05:03:50.746330,2026-01-07 05:03:50.826716,0 days 00:00:00.080386,19,38,2.9810507459104567,3.0414174734572614,3.6056411367943966,2.470877632481834,COMPLETE
456,3.1118036734607606,2026-01-07 05:00:54.025631,2026-01-07 05:00:54.096758,0 days 00:00:00.071127,11,39,3.5127029355351183,3.117228548518815,4.003467890110809,1.9642782437239052,COMPLETE
447,3.1118036734607606,2026-01-07 05:00:51.893600,2026-01-07 05:00:51.960545,0 days 00:00:00.066945,35,38,3.1358084852420403,2.416490043956668,5.247184759844237,2.739654698315252,COMPLETE
435,3.1118036734607606,2026-01-07 05:00:49.041082,2026-01-07 05:00:49.118404,0 days 00:00:00.077322,49,38,3.4539600100514436,2.4442583271449867,5.006829387539992,3.17780436948642,COMPLETE
1224,3.1118036734607606,2026-01-07 05:03:57.115853,2026-01-07 05:03:57.198115,0 days 00:00:00.082262,21,38,2.876342716767979,3.973847882226658,5.13677043990084,2.8142722338930275,COMPLETE
1216,3.1118036734607606,2026-01-07 05:03:55.255167,2026-01-07 05:03:55.331860,0 days 00:00:00.076693,46,38,2.0427080867022327,4.292757003472945,3.177771325866826,2.8965669670400014,COMPLETE
406,3.1118036734607606,2026-01-07 05:00:42.205524,2026-01-07 05:00:42.298194,0 days 00:00:00.092670,48,39,2.093263463776873,3.4261998679755137,3.0514540929104164,2.0396431453170654,COMPLETE
1252,3.1118036734607606,2026-01-07 05:04:03.722318,2026-01-07 05:04:03.798356,0 days 00:00:00.076038,42,38,2.4332817887483618,3.624288098879134,3.0005993714170893,2.019773612290805,COMPLETE
1674,3.1118036734607606,2026-01-07 05:05:59.509232,2026-01-07 05:05:59.629412,0 days 00:00:00.120180,11,38,3.6356256424387263,3.373947105829893,3.3670859776507966,1.8793931812324252,COMPLETE
1266,3.1118036734607606,2026-01-07 05:04:07.302343,2026-01-07 05:04:07.380066,0 days 00:00:00.077723,37,39,3.3574078254495046,2.460486160098018,4.626709250708605,3.1461253922194397,COMPLETE
1264,3.1118036734607606,2026-01-07 05:04:06.790024,2026-01-07 05:04:06.874624,0 days 00:00:00.084600,41,39,2.033716062866111,3.7151168885400168,3.1264620504012575,1.6271173257836657,COMPLETE
394,3.1118036734607606,2026-01-07 05:00:39.396045,2026-01-07 05:00:39.468115,0 days 00:00:00.072070,49,39,3.894101656880114,2.0456753437504998,5.151737378257296,3.132901763727767,COMPLETE
