number,value,datetime_start,datetime_complete,duration,params_channel_multi,params_sl_multiplier,params_tp_multiplier,params_trail_multiplier,state
115,3.3001585604916355,2026-01-06 22:34:08.832257,2026-01-06 22:34:08.885338,0 days 00:00:00.053081,3.164168211634079,3.0230891624480014,3.829092756181832,3.555884937042254,COMPLETE
114,3.3001585604916355,2026-01-06 22:34:08.650563,2026-01-06 22:34:08.703873,0 days 00:00:00.053310,3.542720964822408,2.248202839942001,5.939783946189494,3.594117258443861,COMPLETE
113,3.3001585604916355,2026-01-06 22:34:08.482080,2026-01-06 22:34:08.531413,0 days 00:00:00.049333,2.190507349884105,3.417392170295676,3.1612709141806117,3.236887615492977,COMPLETE
112,3.3001585604916355,2026-01-06 22:34:08.304341,2026-01-06 22:34:08.352483,0 days 00:00:00.048142,3.8520739176521737,3.499146793504885,3.6756643735480483,3.817595875358979,COMPLETE
143,3.3001585604916355,2026-01-06 22:34:14.000490,2026-01-06 22:34:14.052157,0 days 00:00:00.051667,2.7368847337738553,3.1138402867673824,4.033324700893054,3.2090005002616566,COMPLETE
142,3.3001585604916355,2026-01-06 22:34:13.809827,2026-01-06 22:34:13.859426,0 days 00:00:00.049599,2.3136116530122264,2.097208967397122,3.7483683264570957,1.564988014169001,COMPLETE
141,3.3001585604916355,2026-01-06 22:34:13.635240,2026-01-06 22:34:13.692404,0 days 00:00:00.057164,2.733396613090705,2.6541166647417453,3.813431883890376,3.7469107332967737,COMPLETE
140,3.3001585604916355,2026-01-06 22:34:13.463950,2026-01-06 22:34:13.517910,0 days 00:00:00.053960,2.5492624476117287,3.0349593939103174,4.470672377081264,2.700190599918579,COMPLETE
139,3.3001585604916355,2026-01-06 22:34:13.291529,2026-01-06 22:34:13.339894,0 days 00:00:00.048365,3.7361933229254567,3.0957162674570715,5.688759963090378,1.9629269039842756,COMPLETE
138,3.3001585604916355,2026-01-06 22:34:13.090068,2026-01-06 22:34:13.146783,0 days 00:00:00.056715,3.986988449686503,4.116458831539405,5.85666557823888,1.5413105239569218,COMPLETE
137,3.3001585604916355,2026-01-06 22:34:12.918076,2026-01-06 22:34:12.978374,0 days 00:00:00.060298,3.107625557758677,2.846094309789357,5.174223083165773,1.9123523096743273,COMPLETE
136,3.3001585604916355,2026-01-06 22:34:12.748366,2026-01-06 22:34:12.799532,0 days 00:00:00.051166,2.8104339161169634,2.1444907738840566,3.6218311926223206,1.5092003071615894,COMPLETE
135,3.3001585604916355,2026-01-06 22:34:12.586295,2026-01-06 22:34:12.634612,0 days 00:00:00.048317,2.7263090312272165,2.3669056868724643,3.78254201198806,1.8539612122647864,COMPLETE
134,3.3001585604916355,2026-01-06 22:34:12.406921,2026-01-06 22:34:12.466108,0 days 00:00:00.059187,3.9792314756251495,2.858689907885052,4.086707740449558,3.9514120231014713,COMPLETE
133,3.3001585604916355,2026-01-06 22:34:12.235201,2026-01-06 22:34:12.287886,0 days 00:00:00.052685,2.0254836587946397,4.363472627845612,3.004212969341225,1.8983198629094895,COMPLETE
132,3.3001585604916355,2026-01-06 22:34:12.040630,2026-01-06 22:34:12.101475,0 days 00:00:00.060845,2.286443414315445,2.1617689306858616,3.6933052084340563,2.10026235477218,COMPLETE
131,3.3001585604916355,2026-01-06 22:34:11.811120,2026-01-06 22:34:11.860842,0 days 00:00:00.049722,3.9984561896318978,3.901149215424902,5.413251405389041,2.8343660960330217,COMPLETE
130,3.3001585604916355,2026-01-06 22:34:11.641455,2026-01-06 22:34:11.689966,0 days 00:00:00.048511,2.227513690987015,4.224899533643663,3.7352656000417994,2.515874903579365,COMPLETE
129,3.3001585604916355,2026-01-06 22:34:11.471818,2026-01-06 22:34:11.521364,0 days 00:00:00.049546,3.0492088714469605,4.486565777222755,3.4426415631690626,1.9876113354851848,COMPLETE
128,3.3001585604916355,2026-01-06 22:34:11.283282,2026-01-06 22:34:11.339946,0 days 00:00:00.056664,3.4147151071137514,3.771060627241832,5.455049572378437,1.768388595606546,COMPLETE
159,3.3001585604916355,2026-01-06 22:34:16.965742,2026-01-06 22:34:17.038185,0 days 00:00:00.072443,3.9746146729859926,4.397181252471583,5.219682470403112,2.869920408071381,COMPLETE
158,3.3001585604916355,2026-01-06 22:34:16.770340,2026-01-06 22:34:16.827151,0 days 00:00:00.056811,2.8818740270454852,3.0387522924886423,3.6439254395522123,3.7217927592513136,COMPLETE
157,3.3001585604916355,2026-01-06 22:34:16.582532,2026-01-06 22:34:16.638380,0 days 00:00:00.055848,3.7472082367826176,3.6020800397599917,5.049987105107068,1.579206539350049,COMPLETE
156,3.3001585604916355,2026-01-06 22:34:16.404996,2026-01-06 22:34:16.461467,0 days 00:00:00.056471,2.9306034012081494,2.68461949384551,4.683330936978591,2.09451986915807,COMPLETE
155,3.3001585604916355,2026-01-06 22:34:16.205670,2026-01-06 22:34:16.267064,0 days 00:00:00.061394,3.006957638471941,2.9876843656338554,3.2832212171331983,3.288215485287536,COMPLETE
154,3.3001585604916355,2026-01-06 22:34:16.002349,2026-01-06 22:34:16.060524,0 days 00:00:00.058175,2.566134767175977,3.413765837025848,3.8040934471199557,3.5684936647901258,COMPLETE
153,3.3001585604916355,2026-01-06 22:34:15.778404,2026-01-06 22:34:15.830155,0 days 00:00:00.051751,3.5576733909163902,2.677954871436127,5.050914858193734,2.1676811507118194,COMPLETE
152,3.3001585604916355,2026-01-06 22:34:15.576350,2026-01-06 22:34:15.628809,0 days 00:00:00.052459,3.8245607345880788,2.873394113581767,4.385049947318524,1.7967642381363078,COMPLETE
151,3.3001585604916355,2026-01-06 22:34:15.393252,2026-01-06 22:34:15.442004,0 days 00:00:00.048752,3.662091649388627,3.0041377182503957,4.4902367332976505,2.4365056086282864,COMPLETE
