number,value,datetime_start,datetime_complete,duration,params_atr_period,params_channel_length,params_channel_multi,params_fast_period,params_fast_steepness,params_max_period,params_min_period,params_sl_multiplier,params_slow_period,params_slow_steepness,params_steepness,params_tp_multiplier,params_trail_multiplier,state
27,0.8416357607822293,2026-01-02 23:09:12.450261,2026-01-02 23:09:14.705375,0 days 00:00:02.255114,13,58,1.6893581643726234,3,6,38,5,1.6578748125950604,44,3,8,2.0102408369448614,1.722734918950847,COMPLETE
39,0.841542693738392,2026-01-02 23:09:43.316487,2026-01-02 23:09:45.694073,0 days 00:00:02.377586,11,53,2.6077632799239,3,7,32,3,2.2574848286699876,45,3,1,4.355400276452211,2.0303384648724023,COMPLETE
166,0.8414816354713598,2026-01-02 23:14:42.054351,2026-01-02 23:14:44.305044,0 days 00:00:02.250693,12,48,1.5959058559360337,7,9,21,10,3.8332962414190277,42,3,10,2.0288661156850343,2.1465772747454004,COMPLETE
62,0.8410247163356606,2026-01-02 23:10:41.810454,2026-01-02 23:10:44.167918,0 days 00:00:02.357464,19,59,1.8261196543007296,2,6,39,3,1.7491248313550072,41,4,4,4.063757580220561,2.302064969803838,COMPLETE
43,0.8410049899076408,2026-01-02 23:09:53.325182,2026-01-02 23:09:55.709565,0 days 00:00:02.384383,22,52,1.567689100236685,2,7,27,8,1.7814109901466633,41,4,8,4.5761243595483645,1.0840221282236524,COMPLETE
125,0.8409508138877385,2026-01-02 23:13:03.826013,2026-01-02 23:13:06.111214,0 days 00:00:02.285201,20,47,1.711438039233268,5,9,20,8,3.0571084564556674,39,3,10,1.7297852472564408,1.2273874118494141,COMPLETE
94,0.8406648589658205,2026-01-02 23:11:55.131588,2026-01-02 23:11:57.753616,0 days 00:00:02.622028,23,54,2.2990846696016436,2,8,36,10,2.5308916022269208,43,3,6,5.002378010192161,1.269251288519579,COMPLETE
138,0.840192504499253,2026-01-02 23:13:35.288898,2026-01-02 23:13:37.673231,0 days 00:00:02.384333,13,42,2.937034578277178,2,7,21,9,2.4896733546276635,40,3,7,1.8365034902894695,1.8470958687654366,COMPLETE
92,0.840191134907281,2026-01-02 23:11:50.148461,2026-01-02 23:11:52.633725,0 days 00:00:02.485264,25,54,1.6657270390758834,3,9,36,9,3.9115951688034305,44,3,8,5.0031100172823315,1.1163301176728844,COMPLETE
137,0.8400338689959082,2026-01-02 23:13:32.870077,2026-01-02 23:13:35.049127,0 days 00:00:02.179050,20,48,2.2237488526627125,7,5,25,6,3.685849715259815,43,4,9,2.303180214817166,1.2853917213433839,COMPLETE
98,0.8398853894878849,2026-01-02 23:12:03.956092,2026-01-02 23:12:05.729193,0 days 00:00:01.773101,25,58,1.8672069341324447,2,10,37,10,1.926942023015656,43,3,9,5.509658213957992,1.382920446868485,COMPLETE
145,0.839785740830093,2026-01-02 23:13:53.530674,2026-01-02 23:13:56.573499,0 days 00:00:03.042825,19,42,2.5645657913478974,2,6,28,10,2.6420237213300286,40,4,10,1.7449139210250717,1.787124394768443,COMPLETE
83,0.839767339217369,2026-01-02 23:11:30.800153,2026-01-02 23:11:32.698858,0 days 00:00:01.898705,18,58,1.5566562070832426,2,9,24,9,1.596533190110679,41,3,6,2.548907232758051,1.2892928877413263,COMPLETE
40,0.8389414687547077,2026-01-02 23:09:45.834272,2026-01-02 23:09:48.083427,0 days 00:00:02.249155,11,54,1.7644683576618307,2,5,34,5,1.9804885832706718,43,3,2,4.561142037940554,1.093887170258216,COMPLETE
