number,value,datetime_start,datetime_complete,duration,params_channel_length,params_channel_multi,params_sl_multiplier,params_tp_multiplier,params_trail_multiplier,state
72,0.9007538118924425,2026-01-04 03:25:18.934485,2026-01-04 03:25:20.715873,0 days 00:00:01.781388,48,2.6993287560529096,3.499874694350973,3.5691816795873685,1.3545996852023812,COMPLETE
116,0.9007538118924425,2026-01-04 03:26:44.903534,2026-01-04 03:26:46.555965,0 days 00:00:01.652431,37,2.5429689081627873,2.1063317795959042,4.089231384667977,1.3713548075989002,COMPLETE
133,0.9007538118924425,2026-01-04 03:27:18.116610,2026-01-04 03:27:19.840136,0 days 00:00:01.723526,47,2.274534339295022,3.620054453678178,3.2693928470515115,1.3766058110317223,COMPLETE
166,0.9007538118924425,2026-01-04 03:28:29.545053,2026-01-04 03:28:31.871310,0 days 00:00:02.326257,50,2.166559496412067,3.4312599462855644,4.250507851232421,1.3250069795729136,COMPLETE
6,0.9007538118924425,2026-01-04 03:22:48.238506,2026-01-04 03:22:50.492962,0 days 00:00:02.254456,50,2.938662644704,3.2150897038028767,3.341048247374583,1.3170928673735032,COMPLETE
24,0.9007338552791373,2026-01-04 03:23:33.781232,2026-01-04 03:23:36.170235,0 days 00:00:02.389003,48,2.8504903289923726,2.833499231628224,3.1187055339841216,1.272300536345928,COMPLETE
54,0.9007338552791373,2026-01-04 03:24:45.026824,2026-01-04 03:24:46.715477,0 days 00:00:01.688653,44,2.403054854998071,3.2249516678776438,3.302288985891689,1.258421854640273,COMPLETE
55,0.9007338552791373,2026-01-04 03:24:46.847812,2026-01-04 03:24:48.600036,0 days 00:00:01.752224,46,2.304904408533809,3.2638058948973616,3.962526332270306,1.2626890957833168,COMPLETE
61,0.9007338552791373,2026-01-04 03:24:58.277945,2026-01-04 03:25:00.048796,0 days 00:00:01.770851,46,2.800174914789686,3.286980861368784,3.831838417419859,1.2578805737825363,COMPLETE
35,0.9007338552791373,2026-01-04 03:24:01.856139,2026-01-04 03:24:04.222263,0 days 00:00:02.366124,46,1.922678587639931,3.8064516059245226,3.983075070700398,1.2695080501933258,COMPLETE
8,0.9007338552791373,2026-01-04 03:22:53.079883,2026-01-04 03:22:55.533844,0 days 00:00:02.453961,39,2.8911844824945385,2.2440764696895577,3.9903538202225404,1.261899338007393,COMPLETE
75,0.9007338552791373,2026-01-04 03:25:24.855093,2026-01-04 03:25:26.606954,0 days 00:00:01.751861,48,2.977060418693886,3.527757179438436,3.7267581508703285,1.2612323186748218,COMPLETE
155,0.9007338552791373,2026-01-04 03:28:02.204568,2026-01-04 03:28:04.526636,0 days 00:00:02.322068,40,2.2077968487861694,3.4859900487340094,3.777428666738486,1.270219449802487,COMPLETE
52,0.9007338552791373,2026-01-04 03:24:41.278233,2026-01-04 03:24:42.968428,0 days 00:00:01.690195,50,2.9567414277113597,2.8333335171054994,3.403424463374943,1.272780735807959,COMPLETE
181,0.9007338552791373,2026-01-04 03:29:08.099172,2026-01-04 03:29:10.842536,0 days 00:00:02.743364,46,2.9880750373265923,2.919251376497261,3.1942537765623804,1.2623396739031543,COMPLETE
156,0.9007338552791373,2026-01-04 03:28:04.717200,2026-01-04 03:28:06.978040,0 days 00:00:02.260840,42,2.203413169864101,3.3678152017927543,3.657233269312746,1.2541417876799075,COMPLETE
167,0.9007338552791373,2026-01-04 03:28:32.013238,2026-01-04 03:28:34.288619,0 days 00:00:02.275381,49,2.684600143729746,3.2181378062938477,4.006659668426526,1.2742321749652286,COMPLETE
126,0.9007338552791373,2026-01-04 03:27:03.626205,2026-01-04 03:27:05.305779,0 days 00:00:01.679574,36,2.28346897908406,2.5744657039799272,3.647452924041118,1.2646991791420419,COMPLETE
99,0.9007338552791373,2026-01-04 03:26:12.147313,2026-01-04 03:26:13.884535,0 days 00:00:01.737222,43,2.242156254895057,3.7782967648204635,3.681098747635683,1.2733610185651874,COMPLETE
198,0.9007338552791373,2026-01-04 03:29:46.640011,2026-01-04 03:29:48.773684,0 days 00:00:02.133673,48,2.750590086769226,3.135206231948394,3.033391532349014,1.2542286312357018,COMPLETE
185,0.9007338552791373,2026-01-04 03:29:19.243259,2026-01-04 03:29:21.582775,0 days 00:00:02.339516,46,2.8598467820672475,3.516077230755453,3.010734383678011,1.272358779976383,COMPLETE
183,0.8996855710884112,2026-01-04 03:29:13.870511,2026-01-04 03:29:16.360981,0 days 00:00:02.490470,49,2.9466977010434605,3.281059543090766,3.559071595804033,1.4104056791267001,COMPLETE
110,0.8996855710884112,2026-01-04 03:26:32.437160,2026-01-04 03:26:34.719280,0 days 00:00:02.282120,42,2.5567529762548817,2.8258950233364124,3.4540712790659795,1.4107603684845538,COMPLETE
