ticker,adapt_RSI_20260120_231930,adapt_RSI_20260126_140217,adapt_RSI_20260126_141318,adapt_RSI_20260126_143129,adapt_RSI_20260126_150435,adapt_RSI_20260127_204646,adapt_RSI_20260127_212111,adapt_RSI_20260127_213730,adapt_RSI_20260127_215341,adapt_RSI_20260128_153040,adapt_half_RSI_20260120_235614,adapt_half_RSI_20260126_104205,half_RSI_20260121_000047,half_RSI_v0.2_20260125_184151,vidya_RSI_20260121_001237
CAT,0.4178445988430979,0.0891654450452053,0.115201075374919,0.1706408252345213,0.1801617609857895,0.105897492764839,0.0125576460371521,0.160718693332182,0.1126967464264383,0.1740656994577711,0.8022209439120758,0.8862302868551766,0.8745191344879375,0.8394404161465361,0.2178445136717726
CM,0.1290949897921869,0.1363538826044183,0.1205904524777838,0.1382331670652734,0.132794785649799,0.1307194570419374,0.0701647522909194,0.0711580557218534,0.0644646513783728,0.066759713613175,0.5362540318530153,0.5212882261639897,0.2535086672439641,0.6051058144186856,0.1618843805836709
CMI,0.3670260722455951,0.0465556111926757,0.1355594165654854,0.1446800424933412,0.072118713873321,0.1409145546708694,0.092935482027866,0.1486214828888727,0.1572185715429594,0.1317479139803921,0.786461361495417,0.8734587822223372,0.7093454663944134,0.6717880099609754,0.1337481288561306
CNQ,-0.0653188533328116,-0.0668068293912028,-0.0061456365394699,-0.0061456365394699,-0.0061456365394699,-0.069497464055531,-0.0715640797290664,0.0212770130691901,0.0815441153137253,0.0212770130691901,-0.1663062019162451,-0.2396595727191107,-0.2503231109754471,-0.2297374767157721,-0.0368809564010303
CRS,-0.0768264692204082,0.0161163495185905,0.0925276843340885,0.0925276843340885,-0.039597077237281,0.0481601719700668,-0.005055930620344,-0.0240676870935973,4.513104401326906e-05,0.029299105219988,0.1988826606982372,-0.0093388084813236,0.1742709787202174,0.2136646633308225,0.0754768087207069
CTSH,0.0121543422155432,-0.0285812208438632,-0.0013456847960229,-0.0013456847960229,0.0,0.0,0.0,0.0,0.0,0.0,0.0623389001211762,0.0756426026162355,0.087929606801151,0.0426910374059741,0.200496263616646
CX,0.4460961609272964,0.0617598268067158,0.0539093380265152,0.0423000782752358,0.0705107183101578,0.0643885505252479,0.1209563315953587,0.2295205015613493,0.2329154065930487,0.1625481973949289,0.905372944289938,0.9308997747043029,0.4958659111296974,0.9938502584223712,0.3201032114842697
DDOG,0.4366097630368213,-0.0019543465676382,0.0419546810888251,0.0419546810888251,-0.0057124290413684,0.0460968934097421,0.0455907687475694,-0.1074317752986074,0.1856209009755172,-0.1524577297114319,0.5696993123489449,0.5672248724548608,0.5771672335025149,0.7067328015292693,0.3364584728123523
DELL,-0.0635834903538589,-0.1166641517991511,-0.0407991132794988,-0.0132925968521633,-0.0136475020399726,0.0315881612922228,0.0108422642273127,-0.0583020391644725,0.1179476668019783,-0.0583355639869966,-0.1204915237867152,0.4495640956898237,0.4704389060917116,0.3885068611213966,0.3086162319484364
DINO,0.479396979062519,-0.050906980096599,-0.0293285105269878,-0.0233462409099572,-0.0293285105269878,-0.050906980096599,-0.0684683724068475,-0.0196012528108444,-0.064479071877848,-0.0196012528108444,0.7315928574612554,0.6174984057268613,0.6677315168551434,0.3721585400902787,0.2236633848124891
DLTR,0.8051806779206161,0.0594330742618935,0.0594330742618935,0.0594330742618935,0.0594330742618935,0.0254995723745503,0.4195833682635357,0.23801988429735,0.0201196454781662,0.23801988429735,0.7733663039594711,0.6073846392122151,0.8655662555130998,1.0239201569782166,0.2864701156121947
EGO,0.3787997555891329,-0.0378837554222853,0.0877637703477642,0.0288825508354249,-0.0404139244818931,-0.0736290880512288,0.0727457823969359,0.1742789796554156,0.3895767188436365,0.1742425451400289,0.2069715099835578,1.2544989855455837,0.3313561451719453,1.0606687950099922,0.1565090380031806
EIS,0.1108628942737373,0.0520171839091814,0.1155778751199436,0.1168082775216281,0.0755444777380471,0.0807852090193086,0.0946117409267046,0.1085002173657316,0.0482373649677223,0.0973650395846477,0.3365098719059201,0.2557777071324341,0.3672937320694416,0.373994876621494,0.0781768192428806
